Time,X,Y,Z,Temp
Connect Success. Format: Time(ms),X(g),Y(g),Z(g),Temp(C)
1055319,0.01208,0.94503,-0.32189,31.19
1055320,0.01227,0.94611,-0.32103,31.19
1055321,0.01229,0.94544,-0.32199,31.19
1055323,0.01257,0.94520,-0.32226,31.19
1055324,0.01172,0.94645,-0.32288,31.19
1055325,0.01189,0.94599,-0.32239,31.19
1055326,0.01140,0.94674,-0.32172,31.19
1055327,0.01143,0.94636,-0.32179,31.19
1055328,0.01162,0.94518,-0.32212,31.30
1055330,0.01094,0.94649,-0.32218,31.30
1055331,0.01205,0.94561,-0.32306,31.30
1055332,0.01038,0.94397,-0.32216,31.30
1055333,0.01016,0.94487,-0.32235,31.30
1055334,0.01152,0.94346,-0.32421,31.30
1055336,0.01139,0.94398,-0.32261,31.30
1055337,0.00983,0.94368,-0.32201,31.30
1055338,0.01104,0.94321,-0.32216,31.30
1055339,0.01014,0.94383,-0.32079,31.30
1055340,0.00991,0.94438,-0.32198,31.30
1055342,0.01097,0.94566,-0.32124,31.30
1055345,0.01204,0.94678,-0.32407,31.19
1055386,0.00773,0.93240,-0.31608,31.30
1055387,0.00858,0.93283,-0.31774,31.30
1055388,0.01062,0.93577,-0.32042,31.30
1055390,0.01073,0.94094,-0.32546,31.30
1055391,0.01040,0.94583,-0.32737,31.30
1055392,0.00844,0.94808,-0.32918,31.30
1055393,0.00590,0.95063,-0.32789,31.30
1055394,0.00721,0.95054,-0.32614,31.30
1055395,0.00724,0.94967,-0.32302,31.30
1055397,0.00972,0.94841,-0.32032,31.30
